0-Pagina WT,1-Titolo italiano,2-Titolo tedesco,3-DataTrek ID,4-Stag. P18,5-Numero di produzione P1,6-Sequenza di trasmissione P153,7-Data di pubblicazione originale,8-Data P95,9-Serie,10-Istanza P14,11-P178,12-Titolo Wikidata,13-Wikidata ID,14-enMAPage,15-deMAPage,16-itMAPage,17-Produzione Wikidata,18-CheckProduzione
The First Duty,Il primo dovere,Ein mißglücktes Manöver,Q9135,5,219,119,30 marzo 1992,1992-03-30,Star Trek: The Next Generation,Q10690,19,The First Duty,Q7734119,The First Duty (episode),Ein missglücktes Manöver,,219,
Cost of Living,Il prezzo della vita,Hochzeit mit Hindernissen,Q2042,5,220,120,20 aprile 1992,1992-04-20,Star Trek: The Next Generation,Q10690,20,Cost of Living,Q5174778,Cost of Living (episode),Hochzeit mit Hindernissen,,220,
The Perfect Mate,La donna perfetta,Eine hoffnungslose Romanze,Q9213,5,221,121,27 aprile 1992,1992-04-27,Star Trek: The Next Generation,Q10690,21,The Perfect Mate,Q7756695,The Perfect Mate (episode),Eine hoffnungslose Romanze,,221,
Imaginary Friend,Un'amica immaginaria,Die imaginäre Freundin,Q3909,5,222,122,4 maggio 1992,1992-05-04,Star Trek: The Next Generation,Q10690,22,Imaginary Friend,Q6002452,Imaginary Friend (episode),Die imaginäre Freundin,,222,
"I, Borg","Io, Borg",Ich bin Hugh,Q3849,5,223,123,11 maggio 1992,1992-05-11,Star Trek: The Next Generation,Q10690,23,"I, Borg",Q16743891,I Borg (episode),Ich bin Hugh,,223,
The Next Phase,Un'altra dimensione,So nah und doch so fern,Q9198,5,224,124,18 maggio 1992,1992-05-18,Star Trek: The Next Generation,Q10690,24,The Next Phase,Q7753998,The Next Phase (episode),So nah und doch so fern,,224,
The Inner Light,Una vita per ricordare,Das zweite Leben,Q9158,5,225,125,1 giugno 1992,1992-06-01,Star Trek: The Next Generation,Q10690,25,The Inner Light,Q2915551,The Inner Light (episode),Das zweite Leben,,225,
Time's Arrow - Part I,Un mistero dal passato - Prima parte,Gefahr aus dem 19. Jahrhundert I,Q9377,5,226,126,15 giugno 1992,1992-06-15,Star Trek: The Next Generation,Q10690,26,"Time's Arrow, Part I",Q42600269,Time's Arrow (episode),"Gefahr aus dem 19. Jahrhundert, Teil I",,,KO
Time's Arrow - Part II,Un mistero dal passato - Seconda parte,Gefahr aus dem 19. Jahrhundert II,Q9378,6,227,127,21 settembre 1992,1992-09-21,Star Trek: The Next Generation,Q10690,1,"Time's Arrow, Part II",Q42600276,"Time's Arrow, Part II (episode)","Gefahr aus dem 19. Jahrhundert, Teil II",,,KO
Realm of Fear,Paure nascoste,Todesangst beim Beamen (Paura della morte),Q7479,6,228,128,28 settembre 1992,1992-09-28,Star Trek: The Next Generation,Q10690,2,Realm of Fear,Q7301329,Realm of Fear (episode),Todesangst beim Beamen,,228,
Man of the People,Il prezzo della pace,Der unmoralische Friedensvermittler,Q5868,6,229,129,5 ottobre 1992,1992-10-05,Star Trek: The Next Generation,Q10690,3,Man of the People,Q6746424,Man of the People (episode),Der unmoralische Friedensvermittler,,229,
Relics,Il naufrago del tempo,Besuch von der alten Enterprise,Q7528,6,230,130,12 ottobre 1992,1992-10-12,Star Trek: The Next Generation,Q10690,4,Relics,Q7311060,Relics (episode),Besuch von der alten Enterprise,,230,
Schisms,Sonni pericolosi,In den Subraum entführt,Q8061,6,231,131,19 ottobre 1992,1992-10-19,Star Trek: The Next Generation,Q10690,5,Schisms,Q7431504,Schisms (episode),In den Subraum entführt,,231,
True Q,Una vera Q,Eine echte,Q9652,6,232,132,26 ottobre 1992,1992-10-26,Star Trek: The Next Generation,Q10690,6,True Q,Q7847507,True Q (episode),"Eine echte ""Q""",,232,
Rascals,Giovani eroi,Erwachsene Kinder,Q7452,6,233,133,2 novembre 1992,1992-11-02,Star Trek: The Next Generation,Q10690,7,Rascals,Q7294741,Rascals (episode),Erwachsene Kinder,,233,
A Fistful of Datas,Per un pugno di Data,Eine Handvoll Datas,Q110,6,234,134,9 novembre 1992,1992-11-09,Star Trek: The Next Generation,Q10690,8,A Fistful of Datas,Q4656785,A Fistful of Datas (episode),Eine Handvoll Datas,,234,
The Quality of Life,Il sapore della vita,Datas Hypothese,Q9221,6,235,135,16 novembre 1992,1992-11-16,Star Trek: The Next Generation,Q10690,9,The Quality of Life,Q7758878,The Quality of Life (episode),Datas Hypothese,,235,
Chain of Command - Part I,Il peso del comando - Prima parte,Geheime Mission auf Celtris Drei I,Q1682,6,236,136,14 dicembre 1992,1992-12-14,Star Trek: The Next Generation,Q10690,10,"Chain of Command, Part I",Q42600297,"Chain of Command, Part I (episode)","Geheime Mission auf Celtris Drei, Teil I",,,KO
Chain of Command - Part II,Il peso del comando - Seconda parte,Geheime Mission auf Celtris Drei II,Q1683,6,237,137,14 dicembre 1992,1992-12-14,Star Trek: The Next Generation,Q10690,11,"Chain of Command, Part II",Q42600301,"Chain of Command, Part II (episode)","Geheime Mission auf Celtris Drei, Teil II",,,KO
Ship in a Bottle,La nave in bottiglia,Das Schiff in der Flasche,Q8231,6,238,138,25 gennaio 1993,1993-01-25,Star Trek: The Next Generation,Q10690,12,Ship in a Bottle,Q6270441,Ship in a Bottle (episode),Das Schiff in der Flasche,,238,
Aquiel,Aquiel,Aquiel,Q529,6,239,139,1 febbraio 1993,1993-02-01,Star Trek: The Next Generation,Q10690,13,Aquiel,Q4782889,Aquiel (episode),Aquiel,,239,
Face of the Enemy,Il volto del nemico,Das Gesicht des Feindes,Q3049,6,240,140,8 febbraio 1993,1993-02-08,Star Trek: The Next Generation,Q10690,14,Face of the Enemy,Q5428381,Face of the Enemy (episode),Das Gesicht des Feindes,,240,
Tapestry,Una seconda opportunità,,Q8869,6,241,141,15 febbraio 1993,1993-02-15,Star Trek: The Next Generation,Q10690,15,Tapestry,Q7684563,Tapestry (episode),Willkommen im Leben nach dem Tode,,241,
Birthright - Part I,La voce del sangue - Prima parte,Der Moment der Erkenntnis I,Q1251,6,242,142,22 febbraio 1993,1993-02-22,Star Trek: The Next Generation,Q10690,16,"Birthright, Part I",Q42600327,"Birthright, Part I (episode)","Der Moment der Erkenntnis, Teil I",,,KO
Birthright - Part II,La voce del sangue - Seconda parte,Der Moment der Erkenntnis II,Q1252,6,243,143,1 marzo 1993,1993-03-01,Star Trek: The Next Generation,Q10690,17,"Birthright, Part II",Q42600331,"Birthright, Part II (episode)","Der Moment der Erkenntnis, Teil II",,,KO
Starship Mine,Complotto a bordo,In der Hand von Terroristen,Q8551,6,244,144,29 marzo 1993,1993-03-29,Star Trek: The Next Generation,Q10690,18,Starship Mine,Q7602421,Starship Mine (episode),In der Hand von Terroristen,,244,
Lessons,Amore e dovere,Der Feuersturm,Q5393,6,245,145,5 aprile 1993,1993-04-05,Star Trek: The Next Generation,Q10690,19,Lessons,Q511593,Lessons (episode),Der Feuersturm,,245,
The Chase,Il segreto della vita,Das fehlende Fragment,Q9080,6,246,146,26 aprile 1993,1993-04-26,Star Trek: The Next Generation,Q10690,20,The Chase,Q7722230,The Chase (episode),Das fehlende Fragment,,246,
Frame of Mind,Schegge di realtà,Phantasie oder Wahrheit,Q3187,6,247,147,3 maggio 1993,1993-05-03,Star Trek: The Next Generation,Q10690,21,Frame of Mind,Q5477914,Frame of Mind (episode),Phantasie oder Wahrheit,,247,